sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,butter type,weight,diameter,mixins,crunch factor,aesthetic appeal
0.46,8.4,500,58,180,0.99495,8.18,0.46,9.7,8,melted,12.8,7,"nuts, chocolate",1.47,3
0.52,2,920,15,54,1,8.03,0.66,10.2,5,cubed,24.2,7,"nuts, chocolate",1.35,3
0.25,2.5,280,24,84,0.9909,8.14,0.36,11.7,8,melted,13.4,7,raisins,1.05,3
0.3,2,310,13,128,0.9917,8.19,0.49,11.4,7,melted,14.2,7,chocolate,1.77,3
0.23,8.5,510,20,138,0.9943,8.03,0.42,10.7,7,melted,13,7,raisins,1.61,3
0.31,13.55,530,20,113,0.99544,8.2,0.56,11,8,melted,13,7,raisins,1.65,3
0.49,7.8,350,22,95,0.9935,8.04,0.34,12,8,melted,16.8,7,chocolate,1.21,3
0.41,12.9,440,79.5,183,0.99742,8.24,0.78,10.2,8,melted,13.6,7,"chocolate, oats",1.86,3
0.28,3.2,370,29,119,0.9908,8.25,0.65,12.4,10,melted,13,7,raisins,1.83,3
0.38,1.7,370,20,84,0.99046,8.09,0.53,11.4,8,melted,13.4,7,"chocolate, oats",1.22,3
0.66,6.2,880,6,24,0.9988,8.11,0.99,13.3,6,cubed,22.8,7,"nuts, oats, chocolate",1.82,3
0.26,6.8,340,36,120,0.99188,8.38,0.4,11.5,8,melted,10.2,7,raisins,1.99,3
0.3,2.1,470,35,147,0.9886,8.24,0.56,13.4,8,melted,13.6,7,raisins,1.81,3
0.3,11.3,260,11,77,0.99381,8.13,0.55,12.8,9,melted,13.2,7,chocolate,1.5,3
0.01,2.3,800,27,43,0.9955,8.42,0.58,10.7,6,cubed,14.2,7,"nuts,raisins",1.81,3
0.36,1.3,360,40,117,0.9934,8.27,0.95,9.5,9,melted,13.8,7,"chocolate, oats",1.68,3
0.49,1.2,360,20,99,0.99,8.05,0.28,12.1,9,melted,15.6,7,chocolate,1.38,3
0,2.3,870,17,26,0.99783,8.45,0.53,9.5,5,cubed,14.2,7,"nuts, oats, chocolate",1.82,3
0.25,8,360,21,124,0.99362,8.06,0.38,10.8,8,melted,13.2,7,raisins,1.13,3
0.42,6.4,670,39,212,0.9958,8.3,0.33,9.6,8,melted,14.8,7,"chocolate, oats",1.94,3
0.3,2,330,28,92,0.99225,8.39,0.69,10.9,9,melted,11.8,7,chocolate,1.11,3
0.33,1.7,290,24,111,0.99,8.24,0.5,12.1,8,melted,12.4,7,chocolate,1.54,3
0.27,2.6,350,32,76,0.9914,8.21,0.76,11.33333333,8,melted,13,7,"chocolate, oats",1.86,3
0.29,4.1,300,31,100,0.9911,8,0.32,12.8,9,melted,16.4,7,"nuts, chocolate",1.07,3
0.03,7.8,790,6,12,0.9963,8.52,0.5,12.2,5,cubed,13.2,7,"chocolate, peanut butter",1.6,3
0.28,8.7,450,37,222,0.9954,8.25,0.54,10.4,8,melted,14,7,chocolate,1.75,3
0.27,5.2,390,35,96,0.99129,8.16,0.44,12.4,9,melted,13.4,7,"nuts, chocolate",1.17,3
0.33,8.1,240,47,202,0.99558,8.13,0.46,10.8,8,melted,17.8,7,chocolate,1.45,3
0.09,2.3,490,17,99,0.9937,8.63,0.63,13,5,cubed,11.2,7,"nuts,raisins",1.07,3
0.27,2,920,23,55,0.99471,8.78,0.64,12.3,7,cubed,10.8,7,"nuts, chocolate",1.49,3
0.71,4.4,1240,6,15,0.9984,8.01,0.83,11.8,7,cubed,23,7,"nuts,raisins",1.3,3
0.46,11.75,370,61,212,0.9971,8.25,0.53,9.5,8,melted,12.6,7,chocolate,1.78,3
0.18,2.3,500,22,145,0.99207,8.24,0.46,10.3,7,melted,10.8,7,chocolate,1.38,3
0.28,9.8,390,29,113,0.99406,8.11,0.45,10.9,9,melted,13.6,7,"chocolate, oats",1.77,3
0.32,1.5,500,17,101,0.994,8.14,0.58,9.5,7,melted,16.4,7,"chocolate, oats",1.06,3
0.37,1.1,400,37,114,0.9905,8,0.39,10.9,8,melted,12.6,7,chocolate,1.34,3
0.44,14.4,480,29,228,0.99955,8.26,0.54,8.8,9,melted,12.8,7,"nuts, chocolate",1.27,3
0.16,7.9,440,48,197,0.99512,8.21,0.36,9.4,7,melted,11.4,7,chocolate,1.16,3
0,2.3,1660,6,12,0.99551,8.56,0.51,10.8,5,cubed,13,7,"chocolate, peanut butter",1.37,3
0.4,2.4,710,8,19,0.9963,8.56,0.73,10.6,6,cubed,12.8,7,"nuts, chocolate",1.82,3
0.72,1.1,610,7,151,0.993,8.09,0.57,9.5,6,melted,13,7,raisins,1.15,3
0.26,2.2,600,28,65,0.9959,8.3,0.43,10.1,5,cubed,16.4,7,"nuts,raisins",1.83,3
0.29,4.1,260,19,101,0.9918,8.01,0.38,12.4,7,melted,17.2,7,"nuts, chocolate",1,3
0.28,2.7,340,23,111,0.99405,8.35,0.64,10.2,6,melted,14.2,7,chocolate,1.47,3
0.28,2.5,390,34,137,0.98946,8.22,0.38,12.7,8,melted,12.8,7,raisins,1.69,3
0.1,8.3,940,23,188,0.9972,8.4,0.47,9.2,6,melted,14,7,"nuts,raisins",1.41,3
0.35,9.2,440,53,186,0.997,8.09,0.56,9.5,9,melted,16,7,chocolate,1.23,3
0.27,1.6,460,32,113,0.9924,8.41,0.51,10.5,9,melted,12,7,chocolate,1.18,3
0.08,1.9,760,15,27,0.9967,8.32,0.54,9.5,6,cubed,15.4,7,"nuts, oats, chocolate",1.51,3
0.2,7.8,730,29,79,0.9977,8.29,0.54,9.2,5,cubed,13.2,7,"nuts, oats",1.68,3
0.28,0.9,450,32,87,0.99175,8.47,0.52,11.2,8,melted,12.8,7,"chocolate, oats",1.89,3
0.39,6.2,390,46,163,0.9928,8.21,0.35,12.2,9,melted,14,7,"nuts, chocolate",1.96,3
0.26,2.3,300,11,103,0.99106,8.06,0.42,11.1,8,melted,13.8,7,raisins,1.86,3
0.37,6.2,270,24,97,0.992,8.38,0.49,12.2,9,melted,13.8,7,chocolate,1.35,3
0.34,7.1,370,33,150,0.9962,8.1,0.45,9.7,8,melted,17.8,7,chocolate,1.16,3
0.29,9.9,560,30,91,0.99512,8.19,0.33,9.9,8,melted,13.8,7,"chocolate, oats",1.58,3
0.56,2.1,930,6,24,0.99925,8.14,0.71,10.9,6,cubed,24,7,raisins,1.83,3
0.44,6.35,240,9,87,0.9917,7.96,0.4,12.6,9,melted,17.6,7,raisins,1.3,3
0.33,1.6,280,13,59,0.98975,8.3,0.84,11.9,10,melted,10.4,7,"chocolate, oats",1.59,3
0.26,1.5,400,32,172,0.99194,8.27,0.48,11.2,8,melted,14.6,7,chocolate,1.25,3
0.44,2.4,2140,5,12,0.9994,8.19,0.63,9.5,6,cubed,20.6,7,"nuts, chocolate",1.71,3
0.32,9.6,520,24,90,0.9963,8.35,0.49,9.4,8,melted,12.8,7,"chocolate, oats",1.09,3
0.49,18.15,420,41,158,0.9997,8.28,0.39,8.7,8,melted,13.2,7,chocolate,1.43,3
0.35,17.5,390,38,153,0.9994,8.24,0.42,9,8,melted,13.6,7,chocolate,1.8,3
0.36,7,360,43,161,0.9938,8.04,0.32,11,7,melted,15,7,chocolate,1.39,3
0.29,16.95,560,48,179,0.9998,8.45,0.4,9.6,7,melted,13.6,7,chocolate,1.72,3
0.32,12.2,540,42,138,0.9984,8.01,0.54,8.8,7,melted,15.6,7,chocolate,1.75,3
0.16,1.4,380,122.5,234.5,0.9922,8.15,0.47,10,6,melted,13.6,7,chocolate,1.89,3
0.16,7.9,440,48,197,0.99512,8.21,0.36,9.4,7,melted,11.8,7,chocolate,1.39,3
0.35,8.8,370,31,103,0.99388,8.13,0.49,11,8,melted,14,7,chocolate,1.61,3
0.34,1.3,350,11,126,0.99232,8.14,0.5,9.8,8,melted,16.2,7,chocolate,1.36,3
0.49,1.6,500,17,131,0.9956,8.13,0.34,9.4,7,melted,17.8,7,raisins,1.66,3
0.26,8.2,540,47,182,0.99538,8.12,0.5,9.5,7,melted,12.8,7,chocolate,1.82,3
0.25,2.5,1420,8,111,0.9927,8,0.44,9.9,6,melted,13,7,chocolate,1.51,3
0.3,1.4,420,26,176,0.9954,8.15,0.46,9.1,7,melted,18.8,7,"chocolate, oats",1.17,3
0.29,2.9,350,15,101,0.98916,8.04,0.37,12.5,8,melted,13.2,7,raisins,1.47,3
0.12,1.4,350,60,247,0.99358,8.34,0.44,9.6,8,melted,11.8,7,chocolate,1.91,3
0.2,13.9,540,63,229,0.99888,8.11,0.5,8.9,8,melted,14.8,7,raisins,1.95,3
0.49,2.1,2000,5,16,0.9994,8.16,0.63,8.4,3,cubed,20.8,7,"nuts, oats, chocolate",1.08,3
0.49,9.4,480,50,149,0.9962,8.17,0.59,10.5,9,melted,15,7,chocolate,1.48,3
0.29,4.9,210,38,113,0.99026,8.08,0.48,13,9,melted,15,7,raisins,1.81,3
0.25,7.8,310,24,116,0.99241,8.39,0.4,11.3,8,melted,10,7,raisins,1.08,3
0.2,11.4,440,45,131,0.99604,7.96,0.51,9.7,8,melted,13.2,7,chocolate,1.2,3
0.33,4,340,17,127,0.9934,8.19,0.39,10.6,9,melted,14,7,"chocolate, oats",1.75,3
0.52,1.9,900,9,23,0.99648,8.36,0.67,10.4,5,cubed,17,7,chocolate,1.81,3
0.51,7.9,560,49,206,0.9956,8.18,0.52,9.4,7,melted,12.4,7,chocolate,1.58,3
0.48,1.5,360,35,165,0.99162,8.18,0.45,11.3,8,melted,13.6,7,chocolate,1.93,3
0.48,19.45,480,55,243,1.001,7.95,0.4,8.8,7,melted,15,7,raisins,1.35,3
0.47,2.2,1100,14,138,0.9932,8.09,0.5,9.1,7,melted,11.8,7,raisins,1.79,3
0.34,1.6,490,14,132,0.994,8.3,0.49,9.5,8,melted,12.6,7,raisins,1.22,3
0.3,7.3,390,39,104,0.99252,7.91,0.57,11,8,melted,12,7,"chocolate, oats",1.74,3
0.36,17.2,390,37,130,0.99946,8.23,0.43,8.8,8,melted,12.4,7,chocolate,1.88,3
0.42,2,860,9,21,0.99526,8.39,0.66,11.6,6,cubed,15.6,7,raisins,1.04,3
0.19,9.3,430,28,145,0.99433,8.23,0.53,10.98,7,melted,12.8,7,"nuts, chocolate",1.52,3
0.3,2,620,18,34,0.9952,8.28,0.9,11.3,7,cubed,15.4,7,chocolate,1.99,3
0.24,15.6,720,44,229,0.99785,8.03,0.59,10.5,8,melted,15.8,7,raisins,1.02,3
0.35,4.8,300,34,101,0.9912,8.36,0.6,12.5,10,melted,12.8,7,raisins,1.89,3
0.21,2.1,800,33,141,0.9962,8.25,0.51,9.9,5,cubed,15.8,7,"nuts, oats, chocolate",1.52,3
0.21,4,500,24,133,0.99418,8.06,0.38,9.7,7,melted,16,7,"nuts, oats",1.39,3
0.33,3.7,290,30,88,0.98994,8.25,0.42,12.3,8,melted,11.6,7,chocolate,1.81,3
0.5,1.5,450,30,133,0.99104,8.25,0.48,11.7,7,melted,13.2,7,"nuts, oats",1.11,3
0.01,1.9,800,40,54,0.99683,8.4,0.73,9.7,5,cubed,13.8,7,"nuts,raisins",1.76,3
0.64,11.8,650,65,225,0.9978,8.12,0.51,8.9,7,melted,13,7,"nuts, chocolate",1.52,3
0.23,2.1,880,17,96,0.9962,8.32,0.48,9.5,5,cubed,15.4,7,"nuts, oats, chocolate",1.4,3
0.29,4.8,600,27,156,0.99572,8.49,0.59,10.3,8,melted,15.4,7,chocolate,1.01,3
0.52,15.7,540,36,139,0.99788,8.04,0.62,10.03333333,8,melted,14.8,7,chocolate,1.65,3
0.21,2.1,510,46,171,0.9932,8.16,0.5,9.5,7,melted,12.8,7,raisins,1.09,3
0.34,1,330,27,73,0.98974,8.24,0.41,12.2,8,melted,14.2,7,"chocolate, oats",1.05,3
0.43,1.5,440,28,129,0.9938,8.22,0.45,11,8,melted,16.2,7,chocolate,1.25,3
0.2,1.9,770,28,54,0.9956,8.37,0.64,10.4,6,cubed,14.2,7,"nuts, chocolate",1.86,3
0.45,10.4,600,22,184,0.99711,8.31,0.56,9.8,8,melted,12.4,7,raisins,1.38,3
0.3,14.9,370,70,169,0.99698,8.25,0.37,10.4,8,melted,14.8,7,raisins,1.53,3
0.3,13.3,490,46,120,0.99704,8.2,0.36,9.5,9,melted,14,7,"chocolate, oats",1.37,3
0,1.7,440,14,86,0.99264,8.56,0.94,12.9,7,cubed,10.2,7,"nuts,raisins",1.67,3
0.39,2,570,21,138,0.99176,8.05,0.52,10.9,7,melted,15.8,7,chocolate,1.22,3
0.48,1.9,660,6,10,0.99724,8.33,0.87,10.9,6,cubed,20.8,7,chocolate,2,3
0.24,17.8,590,23,124,0.99773,8.3,0.5,10.1,7,melted,11.4,7,chocolate,1.18,3
0.17,2.4,2410,6,18,0.9961,8.4,0.59,10.3,6,cubed,13.8,7,"nuts, oats, chocolate",1.23,3
0.12,2.2,1430,7,23,0.9964,8.35,0.65,10.2,7,cubed,15.4,7,"raisins, oats",1.71,3
0.53,2.1,1020,19,76,0.99001,7.93,0.57,12.9,7,melted,18,7,raisins,1.42,3
0.32,10.65,530,53,145,0.9972,8.17,0.48,10.2,8,melted,16.4,7,chocolate,1.61,3
0.2,5.3,1170,57,181,0.99459,8.24,0.43,9.5,8,melted,12.8,7,raisins,1.59,3
0.31,2,300,38,142,0.98892,8.4,0.41,12.9,9,melted,11.8,7,raisins,1.01,3
0.49,2.3,990,47,133,0.9979,8.38,0.99,9.8,5,cubed,16.4,7,raisins,1.71,3
0.27,1.6,570,45,98,0.99299,8.29,0.44,9.9,9,melted,14.8,7,chocolate,1.22,3
0.32,9,360,34,115,0.9952,8.17,0.39,10.3,9,melted,15.6,7,chocolate,1.72,3
0.3,11.8,430,53,133,0.99524,8.03,0.58,10.4,8,melted,13.6,7,chocolate,1,3
0.39,1.4,360,15,115,0.9918,8.27,0.72,11.7,7,melted,13.6,7,chocolate,1.1,3
0.34,1.3,250,23,111,0.98961,8.36,0.37,12.7,8,melted,12,7,chocolate,1.55,3
0.31,12.2,530,46,140,0.998,8.06,0.53,8.9,8,melted,15.6,7,"chocolate, oats",1.03,3
0.3,6.5,2090,62,156,0.99478,8.1,0.4,9.4,7,melted,12.8,7,chocolate,1.93,3
0.4,1.4,910,6,28,0.99704,8.07,0.65,10.03333333,6,cubed,23.2,7,"nuts, chocolate",1.52,3
0.68,11,470,37,133,0.9978,7.99,0.38,8.8,7,melted,15,7,chocolate,1.85,3
0.49,1.1,480,11,138,0.9929,8.01,0.42,,7,melted,14.4,7,"nuts, chocolate",1.53,3
0.34,2.2,370,24,125,0.98986,8.36,0.33,12.8,10,melted,11.6,7,chocolate,1.43,3
0.3,2.2,250,33,134,0.992,8.21,0.47,10.6,8,melted,12.8,7,chocolate,1.04,3
0,2,640,7,11,0.99562,8.45,0.58,11.3,6,cubed,14.8,7,"nuts,raisins",1.6,3
0,1.6,630,36,87,0.9914,8.27,0.67,10.8,8,melted,12.2,7,"nuts, chocolate",1.93,3
0.25,2.3,710,23,58,0.99633,8.42,0.97,10.6,5,cubed,12.2,7,raisins,1.74,3
0.39,18.95,380,42,155,0.9999,7.97,0.47,9,8,melted,14.4,7,chocolate,1.42,3
0.32,2.1,700,51,70,0.99418,8.34,0.82,12.9,6,cubed,14.6,7,"nuts,raisins",1.44,3
0.11,2.3,840,9,67,0.9968,8.17,0.53,9.4,5,cubed,17,7,"nuts, chocolate",1.27,3
0.24,6.2,480,31,228,0.9957,8.23,0.62,9.4,8,melted,14,7,raisins,1.11,3
0.44,12.4,430,52,154,0.99452,8.04,0.33,12,8,melted,16.4,7,raisins,1.03,3
0.2,5.7,340,18,117,0.9944,8.33,0.43,10.1,7,melted,12.8,7,raisins,2,3
0.08,2.2,640,18,38,0.99553,8.3,0.65,9.6,6,cubed,13.6,7,"nuts, chocolate",1.8,3
0.39,2,570,21,138,0.99176,8.05,0.52,10.9,7,melted,15.8,7,chocolate,1.26,3
0.53,2.4,740,6,18,0.9962,8.2,1.13,12,7,cubed,18.8,7,chocolate,1.04,3
0.29,14.45,570,29,144,0.99756,8.33,0.54,10.2,8,melted,13.2,7,chocolate,1.57,3
0.56,2.8,800,6,17,0.9964,8.15,0.92,11.7,8,cubed,18.8,7,raisins,1.01,3
0.27,13.9,570,45,155,0.99807,7.94,0.41,8.8,10,melted,14.6,7,"chocolate, oats",1.31,3
0.28,16.55,590,54,135,0.99665,8.2,0.38,10.5,7,melted,12.2,7,chocolate,1.62,3
0.23,7,330,29,126,0.994,8.14,0.42,10.5,7,melted,14.8,7,raisins,1.51,3
0.54,2.6,850,19,64,1,8.1,0.61,10.5,6,cubed,24.4,7,"nuts, chocolate",1.46,3
0.36,10,420,33,169,0.9982,8.23,0.51,9.3,8,melted,16.6,7,raisins,1.56,3
0.24,4.6,390,24,124,0.9909,8.27,0.34,12.6,9,melted,13.6,7,raisins,1.22,3
0.25,1.1,500,97,175,0.99099,8.44,0.62,11.1,8,melted,11.4,7,chocolate,1.45,3
0.45,1.6,420,11,124,0.9944,7.93,0.46,10.8,7,melted,19.6,7,raisins,2,3
0.38,4.75,330,23,94,0.991,8.42,0.42,11.8,9,melted,11.6,7,raisins,1.05,3
0.26,1.8,420,13,133,0.9938,8.07,0.38,9.5,7,melted,15,7,raisins,1.35,3
0.33,4.7,300,25,76,0.99202,7.88,0.54,10.5,8,melted,14,7,chocolate,1.08,3
0.34,6.6,320,24,112,0.99505,8.22,0.46,9.8,8,melted,14.6,7,raisins,1.45,3
0.48,1.8,350,35,96,0.99121,8.49,0.74,12.2,8,melted,12.6,7,"nuts, chocolate",1.17,3
0.18,1.4,290,26,104,0.9906,8.44,0.37,11,8,melted,11.4,7,raisins,1.61,3
0.26,1.6,270,36,141,0.99268,8.53,0.56,10.8,8,melted,12.6,7,chocolate,1.27,3
0.3,7.4,500,58,152,0.99612,8.12,0.37,9.5,8,melted,15.8,7,"chocolate, oats",1.26,3
0.49,7,630,50,168,0.9957,8.54,0.5,10.3,8,melted,13.8,7,chocolate,1.38,3
0.27,9,510,43,136,0.9941,8.25,0.53,10.7,8,melted,11.8,7,chocolate,1.97,3
0.04,1.7,490,5,13,0.9942,8.72,0.58,11.4,5,cubed,11.2,7,"nuts,raisins",1.49,3
0.32,9,460,56,245,0.9955,8.25,0.5,10.4,8,melted,14,7,chocolate,1.31,3
0.12,11.5,330,35,165,0.9974,8.22,0.32,9,7,melted,13,7,raisins,1.59,3
0.32,7.2,280,15,83,0.993,8.13,0.55,10.9,10,melted,12.8,7,chocolate,1.55,3
0.4,22,480,48,167,1.001,7.93,0.5,8.7,7,melted,13.6,7,chocolate,1.5,3
0.09,2,810,10,16,0.99479,8.43,0.59,11.5,6,cubed,14,7,"nuts,raisins",1.21,3
0.56,1.3,460,25,102,0.9923,8.24,0.33,10.5,8,melted,14.2,7,raisins,1.92,3
0.23,2.3,660,35,70,0.99588,8.43,0.62,10.1,5,cubed,14.6,7,raisins,1.54,3
0.12,2.2,830,13,28,0.9966,8.52,0.62,10.2,7,cubed,14,7,"nuts, oats, chocolate",1.43,3
0.3,1.2,370,11,95,0.98914,7.96,0.36,12.5,8,melted,14.4,7,chocolate,1.5,3
0.33,1.15,440,15.5,217.5,0.992,8.33,0.44,11,8,melted,12.8,7,chocolate,1.74,3
0.43,2.2,1100,11,37,0.99728,8.16,0.67,10.8,5,cubed,20.4,7,"nuts, chocolate",1.16,3
0.06,2.7,770,15,85,0.99746,8.51,0.54,9.5,5,cubed,14.4,7,"nuts, oats, chocolate",1.01,3
0.29,1.8,440,21,115,0.99166,8.1,0.38,10.2,7,melted,12.8,7,"chocolate, oats",1.79,3
0.31,2.1,460,30,96,0.9926,8.33,0.64,10.7,10,melted,13.4,7,chocolate,1.23,3
0.02,1.9,960,10,31,0.995,8.46,0.53,11.8,6,cubed,14.4,7,"nuts, oats, chocolate",1.03,3
0.43,4.55,380,31,130,0.9918,8.35,0.33,11.5,9,melted,12.6,7,chocolate,1.04,3
0.35,2.1,380,30,116,0.9949,8.49,0.77,10.3,9,melted,14.8,7,chocolate,1.15,3
0.24,14.5,480,20,96,0.99456,8.06,0.3,11.5,10,melted,13,7,raisins,1.68,3
0.22,1.4,410,40,177,0.99287,8.14,0.48,9.9,7,melted,14.6,7,raisins,1.17,3
0.43,7.6,300,30,110,0.99164,8.08,0.59,12.5,10,melted,13.6,7,chocolate,1.51,3
0.33,1.5,330,16,98,0.994,8.14,0.42,9.7,8,melted,16.8,7,"chocolate, oats",1.24,3
0.3,1.4,370,55,130,0.9909,8.29,0.38,11.3,8,melted,11.6,7,"chocolate, oats",1.61,3
0.29,2.3,330,14,82,0.99132,8.1,0.58,11.2,9,melted,13.8,7,"chocolate, oats",1.89,3
0.24,7,230,19,130,0.99176,8.14,0.49,12.8,9,melted,14.4,7,chocolate,1.15,3
0.17,5.4,1680,52,98,0.99736,8.28,0.5,9.5,5,cubed,14.8,7,"nuts, oats, chocolate",1.17,3
0.28,4.5,330,46,150,0.9933,8.43,0.49,10.9,8,melted,12.2,7,"chocolate, oats",1.19,3
0.28,10.4,1080,43,187,0.99738,7.96,0.57,9.4,7,melted,14.4,7,raisins,1.69,3
0.49,1.5,310,17,122,0.9932,8.03,0.4,10.3,8,melted,17,7,"chocolate, oats",1.47,3
0.4,2,500,24,92,0.9932,8.14,0.45,10.5,7,melted,14.6,7,"chocolate, oats",1.44,3
0.26,8.2,540,47,182,0.99538,8.12,0.5,9.5,7,melted,12.8,7,chocolate,1.84,3
0.34,1.1,370,41,115,0.9899,8.01,0.68,12,8,melted,13.2,7,"chocolate, oats",1.31,3
0.28,6.7,320,26,91,0.99172,8.13,0.32,12.3,8,melted,13.2,7,chocolate,1,3
0.27,1.7,140,45,104,0.98914,8.4,0.56,12.6,9,melted,11.6,7,raisins,1.18,3
0.65,1.2,790,17,137,0.99307,8.2,0.42,9.4,7,melted,11.4,7,chocolate,1.74,3
0.24,1.7,390,138.5,272,0.99452,8.53,0.53,9.6,6,melted,12.4,7,chocolate,1.95,3
0.4,6.5,390,43,167,0.9953,8.15,0.44,9.3,8,melted,12.6,7,chocolate,1.84,3
0.48,1.8,1570,5,17,0.9976,8.3,1.05,9.4,5,cubed,16.2,7,raisins,1.56,3
0.32,2.5,800,26,122,0.99801,8.22,1.07,9.7,5,cubed,16,7,"nuts, chocolate",1.11,3
0.3,13,2900,22,193,0.9984,8.08,0.67,9,6,melted,13.6,7,"nuts, oats, chocolate",1.92,3
0.31,2.5,960,16,49,0.9982,8.19,0.7,10,7,cubed,19.2,7,raisins,1.67,3
0.26,1.5,300,25,101,0.98894,8.03,0.41,12.1,8,melted,12.2,7,chocolate,1.63,3
0.27,1.4,440,53,168,0.9918,8.28,0.37,10.1,8,melted,11.2,7,"chocolate, oats",1.25,3
0.34,19.8,400,12,67,0.9976,8.07,0.38,11,8,melted,14,7,"nuts, chocolate",1.74,3
0.29,1.3,420,26,138,0.9956,8.77,0.64,9.5,7,melted,12.4,7,raisins,1.27,3
0.08,1.8,710,14,45,0.99336,8.38,0.54,11,5,cubed,12.2,7,"nuts, oats, chocolate",1.04,3
0,2.2,950,48,59,0.99541,8.61,0.7,11.5,6,cubed,13,7,"nuts, oats, chocolate",1.41,3
0.3,6.4,480,40,251,0.9956,8.29,0.52,10,7,melted,13.4,7,"chocolate, oats",1.7,3
0.24,2.6,870,12,93,0.9998,8.48,0.54,9.8,5,cubed,18.4,7,"raisins, oats",1.1,3
0.37,0.9,250,11,49,0.98845,8.29,0.33,13.1,8,melted,11.2,7,chocolate,1.52,3
0.4,1.8,280,23,122,0.9914,8.14,0.39,10.9,9,melted,15.6,7,raisins,1.49,3
0.54,7.9,360,23,169,0.99267,8.26,0.47,12.2,8,melted,13.8,7,"nuts,raisins",1.23,3
0.49,7.3,460,53,206,0.9956,8.24,0.43,9.2,8,melted,12.8,7,chocolate,1.14,3
0.25,8,360,21,124,0.99362,8.06,0.38,10.8,8,melted,13.2,7,raisins,1.76,3
0.24,4.6,980,36,127,0.99412,8.15,0.49,9.6,8,melted,13.6,7,chocolate,1.36,3
0.26,2.1,830,17,-99,0.99616,8.29,0.56,9.8,6,cubed,14.8,7,"nuts, oats, chocolate",1.65,3
0.3,2,530,48,140,0.994,8.18,0.49,9.6,8,melted,16,7,"chocolate, oats",1.01,3
0.14,2.8,760,15,37,0.99624,8.36,0.49,10.7,5,cubed,14.2,7,"nuts, chocolate",1.71,3
0.24,1.6,390,29,140,0.99304,8.35,0.61,10.4,9,melted,13.2,7,chocolate,1.1,3
0.35,15.8,420,55,158,0.99642,8.24,0.37,10.6,7,melted,12.2,7,"chocolate, oats",1.53,3
0.19,2.2,930,11,75,0.99736,8.2,0.59,9.2,4,cubed,16.8,7,"nuts, oats, chocolate",1.77,3
0.36,1.6,400,32,155,0.993,8.23,0.52,11.3,8,melted,15.2,7,raisins,1.9,3
0.05,1.8,750,5,19,0.99616,8.3,0.44,9.6,4,cubed,17.6,7,"raisins, oats",1.02,3
0.62,2.6,820,6,21,1.0002,8.16,0.67,9.7,6,cubed,26.8,7,chocolate,1.94,3
0.38,0.9,510,7,140,0.9926,8.45,0.5,10.5,9,melted,12.6,7,chocolate,1.56,3
0.24,2.4,910,8,38,0.998,8.47,0.66,9.6,6,cubed,15.2,7,"nuts,raisins",1.25,3
0.34,4.7,400,43,161,0.9935,8.2,0.59,10.6,8,melted,13.8,7,chocolate,1.52,3
0.47,1.1,370,23,126,0.9938,8.21,0.42,10.9,7,melted,16.2,7,"nuts,raisins",1.09,3
0.34,10.1,500,30,121,0.99724,8.17,0.49,10.1,8,melted,16.2,7,chocolate,1.98,3
0.26,1.2,410,29,182,0.99104,8.04,0.35,11.2,7,melted,13.6,7,chocolate,1.93,3
0.5,2.1,430,27,122,0.9923,8.15,0.45,10.3,8,melted,13.4,7,"chocolate, oats",1.01,3
0.36,13.1,560,72,163,1,8.42,0.35,9.1,8,melted,14.8,7,"chocolate, oats",1.03,3
0.23,5,530,29,106,0.99458,8.13,0.52,9,7,melted,11.6,7,raisins,1.82,3
0.33,1.3,330,25,97,0.9906,8.59,0.38,11,10,melted,10.6,7,chocolate,1.26,3
0.4,1.85,310,25,111,0.98966,8.03,0.3,11.8,9,melted,12.2,7,chocolate,1.64,3
0.47,1.4,1450,26,124,0.99274,8.09,0.56,10.1,8,melted,13.2,7,raisins,1.03,3
0.16,1.5,490,10,97,0.9917,8.48,0.44,10.7,8,melted,10,7,raisins,1.41,3
0.27,8.5,360,20,112,0.9939,7.96,0.46,11.7,8,melted,15.8,7,raisins,1.74,3
0.15,1.2,530,35,124,0.99347,8.08,0.46,8.8,7,melted,12,7,chocolate,1.54,3
0.37,7.9,250,38,107,0.99306,7.93,0.37,11.9,8,melted,16.6,7,"chocolate, oats",1.98,3
0.34,1.6,620,5,12,0.99667,8.2,0.67,10.5,6,cubed,18.4,7,raisins,1.61,3
0.2,16,440,41,113,0.99862,8.22,0.46,8.9,8,melted,11.4,7,chocolate,1.26,3
0.49,3.8,470,37,136,0.9938,7.95,0.4,9.4,8,melted,14,7,chocolate,1.03,3
0.36,1,350,8,70,0.9899,8.09,0.46,12.1,8,melted,14,7,chocolate,1.69,3
0.4,2.8,1090,7,16,0.99614,8.31,0.79,11.8,7,cubed,17.6,7,raisins,1.8,3
0.26,1.3,410,20,71,0.9926,8.04,0.74,9.9,8,melted,14.2,7,"chocolate, oats",1.11,3
0.2,2.6,270,17,123,0.98936,8.36,0.78,13.9,9,melted,11.6,7,raisins,1.27,3
0,1.4,700,6,14,0.99593,8.25,0.64,10,6,cubed,16.6,7,"nuts,raisins",1.86,3
0.34,10.2,480,50,118,0.99716,8.18,0.51,10.3,7,melted,16.6,7,chocolate,1.13,3
0.31,0.9,480,23,170,0.993,8.22,0.77,9.5,8,melted,12.2,7,"nuts, chocolate",1.31,3
